Wall time,Step,Value
1583002342.9281025,10056,106.0
1583002461.2072666,10142,175.0
1583002496.470484,10168,141.0
1583002613.062804,10252,129.0
1583002766.057776,10361,84.0
1583002774.981322,10368,108.0
1583002944.6580968,10483,89.0
1583002948.7953107,10486,93.0
1583002981.412322,10507,124.0
1583003059.1706274,10566,119.0
1583003071.5413666,10577,52.0
1583003076.513148,10581,99.0
1583003117.0498877,10610,83.0
1583003165.456429,10643,193.0
1583003236.0093815,10696,87.0
1583003259.8490913,10713,116.0
1583003278.061021,10727,84.0
1583003300.4918652,10743,120.0
1583003321.479946,10760,110.0
1583003377.0587604,10800,98.0
1583003443.1713815,10846,122.0
1583003444.9601276,10847,87.0
1583003475.727639,10870,100.0
1583003522.858395,10905,109.0
1583003535.7561595,10915,76.0
1583003558.534826,10931,68.0
1583003571.3295436,10941,123.0
1583003594.2741234,10955,84.0
1583003648.085491,10993,110.0
1583003650.5404537,10996,106.0
1583003698.5245123,11030,203.0
1583003703.502086,11034,316.0
1583003738.477182,11058,237.0
1583003744.8711655,11064,95.0
1583003748.3485284,11066,76.0
1583003804.6473985,11106,105.0
1583003812.1966631,11112,116.0
1583003831.324686,11125,73.0
1583003838.8020973,11130,110.0
1583003930.7149518,11194,174.0
1583003953.258261,11213,152.0
1583003966.123103,11223,105.0
1583004027.1411808,11268,78.0
1583004056.5718584,11291,121.0
1583004057.0796099,11293,82.0
1583004059.2658923,11294,100.0
1583004134.6736526,11354,59.0
1583004359.333503,11521,96.0
1583004438.0607047,11576,98.0
1583004466.1530588,11597,113.0
1583004510.2343633,11629,80.0
1583004523.0359423,11638,111.0
1583004545.6608613,11655,98.0
1583004569.9671094,11673,185.0
1583004612.774574,11704,98.0
1583004686.4098444,11755,122.0
1583004716.2456934,11778,112.0
1583004738.502319,11792,74.0
1583004853.2693837,11867,303.0
1583005032.9934955,11982,93.0
1583005173.9479172,12079,60.0
1583005180.856381,12084,89.0
1583005231.3291836,12121,140.0
1583005281.5636544,12152,198.0
1583005415.9592843,12251,148.0
1583005452.694438,12277,70.0
1583005459.2510295,12281,114.0
1583005477.0445795,12297,136.0
1583005535.9486797,12339,105.0
1583005629.8531272,12404,81.0
1583005631.3830779,12407,74.0
1583005655.5164912,12423,223.0
1583005792.5193114,12521,124.0
1583005866.4619734,12576,99.0
1583005998.8654327,12673,108.0
1583006150.5194254,12792,86.5
1583006193.267399,12820,90.0
1583006270.630993,12880,102.0
1583006337.3464203,12929,83.0
1583006435.9128911,13001,100.0
1583006459.265064,13020,105.0
1583006516.9893844,13063,91.0
1583006541.7950447,13083,111.0
1583006625.8058288,13141,86.0
1583006649.8368506,13158,166.0
1583006685.443035,13185,119.0
1583006713.1545897,13207,92.0
1583006729.6582434,13219,134.0
1583006749.6309822,13234,178.0
1583006754.279758,13238,204.0
1583006774.8278027,13255,57.0
1583006830.1061635,13291,243.0
1583006889.6256738,13332,110.0
1583006936.2833152,13366,155.0
1583007085.9623446,13480,119.0
1583007154.5182104,13533,72.0
1583007159.6421988,13537,85.0
1583007186.2653704,13558,99.0
1583007251.5316126,13608,85.0
1583007291.1206114,13638,96.0
1583007348.7120142,13680,168.0
1583007410.648396,13731,119.0
1583007439.798193,13754,142.0
1583007521.8755903,13816,81.0
1583007526.1397412,13819,81.0
1583007608.8900747,13884,112.0
1583007653.7671797,13914,149.0
1583007697.0083208,13948,99.0
1583007742.8581328,13983,78.0
1583007772.212877,14007,92.0
1583007791.9683645,14023,156.0
1583007887.2566583,14096,143.0
1583007916.7804499,14115,384.0
1583007945.4022572,14137,98.0
1583008055.8936307,14220,66.0
1583008240.6584392,14363,86.0
1583008332.959123,14433,128.0
1583008343.4366982,14440,141.0
1583008353.3236506,14450,94.0
1583008381.9917285,14468,191.0
1583008394.5025425,14480,84.0
1583008403.6513662,14486,73.0
1583008487.8613372,14546,103.0
1583008551.7265081,14596,68.0
1583008611.3711495,14643,202.0
1583008654.998136,14680,65.0
1583008693.1110027,14706,97.0
1583008698.3576853,14709,111.0
1583008796.865158,14785,125.0
1583008804.4371595,14791,92.0
1583008847.8158877,14821,106.0
1583008858.3654187,14830,103.0
1583008864.145413,14834,95.0
1583008871.4808862,14841,138.0
1583008998.7965338,14934,79.0
1583008998.9489865,14935,231.0
1583009008.0774608,14943,51.0
1583009014.2204804,14947,71.0
1583009037.4909751,14964,139.0
1583009125.6815722,15030,134.0
1583009151.647865,15049,71.0
1583009210.8116243,15083,315.0
1583009357.7507296,15185,71.0
1583009443.9498856,15249,60.0
1583009502.4172459,15295,160.0
1583009568.0443435,15339,183.0
1583009594.4099782,15359,114.0
1583009685.8684726,15427,68.0
1583009768.9195292,15486,117.0
1583009808.1381612,15509,154.0
1583009930.0734684,15590,165.0
1583009998.4039922,15636,156.0
1583010001.060189,15638,55.0
1583010041.3897958,15670,127.0
1583010091.0932698,15703,387.0
1583010173.5472493,15762,102.0
1583010373.3740182,15906,145.0
1583010407.8739357,15930,140.0
1583010420.3907845,15939,146.0
1583010428.6998065,15945,93.0
1583010498.7888072,15991,221.0
1583010503.6125622,15994,111.0
1583010538.8879101,16013,80.0
1583010722.6696095,16145,130.0
1583010740.6947496,16160,94.0
1583010879.9706874,16265,76.0
1583010907.464566,16286,79.0
1583011001.8239338,16360,83.0
1583011081.1868706,16422,108.0
1583011178.3391068,16496,73.0
1583011208.537336,16518,94.0
1583011233.0188448,16535,187.0
1583011289.3239396,16581,120.0
1583011332.8154695,16616,85.0
1583011414.1183472,16682,97.0
1583011480.6797428,16736,103.0
1583011516.5227666,16762,106.0
1583011522.9560792,16767,95.0
1583011619.5793393,16840,268.0
1583011667.669812,16878,73.0
1583011727.802963,16927,110.0
1583011812.5016768,16992,93.0
1583011814.8833745,16993,142.0
1583011859.1495345,17028,83.0
1583011875.6022818,17042,105.0
1583011930.4671302,17085,180.0
1583012151.6115277,17254,149.0
1583012191.7065349,17285,104.0
1583012242.2357812,17320,137.0
1583012323.4927745,17381,184.0
1583012337.3823895,17392,158.0
1583012394.472107,17434,129.0
1583012405.5428329,17442,82.0
1583012442.0454166,17467,137.0
1583012463.2395024,17485,116.0
1583012466.1106327,17487,154.0
1583012496.7915614,17510,89.0
1583012498.6517012,17511,92.0
1583012499.6391792,17512,282.0
1583012502.472502,17515,71.0
1583012527.3787208,17534,90.0
1583012574.2419996,17569,85.0
1583012617.5808475,17600,108.0
1583012644.2893984,17621,153.0
1583012665.3958514,17639,115.0
1583012679.383949,17649,126.0
1583012798.1246533,17738,132.0
1583012820.2405324,17752,184.0
1583012860.5702877,17781,142.0
1583012868.3862271,17788,144.0
1583012871.7643473,17789,70.0
1583012912.1571963,17819,87.0
1583012924.7481139,17829,151.0
1583012954.4535494,17850,92.0
1583013041.9958098,17921,68.0
1583013108.6408005,17970,74.0
1583013154.9667594,18003,66.0
1583013204.6667242,18041,124.0
1583013353.3940635,18153,71.0
1583013382.27444,18178,90.0
1583013386.7353387,18181,107.0
1583013399.388138,18191,81.0
1583013435.721218,18220,110.0
1583013475.8954017,18256,85.0
1583013490.0562906,18268,59.0
1583013572.6128504,18332,94.0
1583013595.8007383,18350,103.0
1583013677.089319,18418,99.0
1583013703.8655624,18440,82.0
1583013738.7744288,18468,68.0
1583013813.7245834,18525,110.0
1583013993.8622434,18660,116.0
1583013995.2083924,18661,77.0
1583014121.5470986,18760,72.0
1583014179.4440293,18806,100.0
1583014339.577266,18929,124.0
1583014348.6772332,18936,79.0
1583014504.2160366,19061,86.0
1583014570.3001313,19110,68.0
1583014649.303638,19175,142.0
1583014672.426995,19194,90.0
1583014678.797665,19199,81.0
1583014706.5062797,19223,81.0
1583014735.9713361,19246,136.0
1583014760.1476586,19267,108.0
1583014853.63631,19337,131.0
1583014921.003748,19390,107.0
1583014995.7777689,19448,77.0
1583015051.201592,19492,107.0
1583015055.4145575,19496,73.0
1583015091.1578689,19521,106.0
1583015346.8276079,19708,184.0
1583015366.1841712,19724,55.0
1583015370.122953,19727,99.0
1583015396.5413704,19749,149.0
1583015404.6958346,19755,100.0
1583015468.8705323,19803,97.0
1583015486.8279524,19818,90.0
1583015549.6445503,19866,122.0
1583015564.7816432,19880,78.0
1583015579.4952736,19891,97.0
1583015593.5485406,19900,80.0
1583015660.035538,19948,100.0
1583015673.11961,19959,102.0
1583015679.982954,19965,64.0
1583015751.853187,20024,116.0
1583015786.238058,20051,86.0
1583015814.226321,20074,78.0
1583015909.1059139,20144,96.0
1583015939.08094,20166,306.0
1583015982.542092,20200,115.0
1583016004.1669996,20217,65.0
1583016015.5696983,20224,105.0
1583016065.084671,20265,106.0
1583016081.920297,20278,106.0
1583016088.4357414,20283,99.0
1583016095.9452019,20289,116.0
1583016098.3420715,20292,148.0
1583016194.2317421,20368,141.0
1583016195.1484995,20369,94.0
1583016197.809079,20371,111.0
1583016253.0573115,20414,111.0
1583016255.893886,20417,107.0
1583016296.495221,20448,66.0
1583016329.831188,20475,133.0
1583016331.3149915,20478,116.0
1583016340.5549226,20483,86.0
1583016418.103469,20539,120.0
1583016437.096186,20554,86.0
1583016448.9106407,20563,99.0
1583016452.2812707,20565,151.0
1583016521.7353735,20616,122.0
1583016597.1163292,20674,91.0
1583016660.72696,20719,92.0
1583016714.0001185,20761,94.0
1583016730.1287684,20774,101.0
1583016732.6947458,20776,103.5
1583016761.6068528,20799,130.0
1583016776.0999937,20804,148.0
1583016788.9730523,20815,111.0
1583016935.6752942,20926,126.0
1583016964.082581,20947,131.0
1583017049.932544,21015,93.0
1583017051.0223432,21016,99.0
1583017057.0577543,21020,234.0
1583017057.778434,21021,192.0
1583017119.882984,21071,116.0
1583017150.354895,21095,86.0
1583017194.8787935,21128,94.0
1583017229.2750597,21155,140.0
1583017329.181993,21231,96.0
1583017381.739885,21271,122.0
1583017392.355555,21279,95.0
1583017440.584026,21311,92.0
1583017457.5404809,21324,103.0
1583017541.0727186,21388,111.0
1583017635.826346,21455,79.0
1583017664.1679611,21478,100.0
1583017774.4280071,21563,64.0
1583017778.8468142,21566,87.0
1583017786.1318212,21572,81.0
1583017878.9091187,21640,171.0
1583017900.606511,21658,98.0
1583018004.1027815,21733,127.0
1583018060.2543411,21772,85.0
1583018060.3544314,21773,118.0
1583018269.9553754,21931,100.0
1583018327.0382912,21973,90.0
1583018327.2516284,21974,142.0
1583018414.6297567,22040,99.0
1583018419.9192169,22046,110.0
