Walltime,Step,Value
1582992320.405122,4730,0.014012512750923634
1582992439.5736098,4770,-0.0032222752925008535
1582992460.1287324,4775,0.0033402841072529554
1582992505.6405802,4790,-0.008063516579568386
1582992605.5136037,4825,0.019047392532229424
1582992654.2664962,4840,0.011829559691250324
1582992773.6105635,4880,0.013237928040325642
1582992788.1245897,4885,0.009364929050207138
1582992817.1343966,4895,0.016465406864881516
1582992843.267841,4900,0.010494552552700043
1582992867.2133677,4905,0.006196125876158476
1582992934.062091,4925,0.009364928118884563
1582992958.3052266,4930,0.015174406580626965
1582993020.7888205,4940,0.008154623210430145
1582993051.2243962,4950,0.003555452451109886
1582993151.6386282,4975,0.016336310654878616
1582993166.1468277,4980,0.013237918727099895
1582993228.0247605,5000,0.012684629298746586
1582993240.6880252,5005,0.00032796961022540927
1582993255.7558465,5010,-0.006127012427896261
1582993270.9035883,5015,0.017110904678702354
1582993325.9124641,5030,0.02485688030719757
1582993334.9828525,5035,-0.004190519917756319
1582993356.6183112,5040,0.00355545268394053
1582993427.5167215,5055,0.009364931844174862
1582993446.8942792,5060,0.013237915933132172
1582993582.1657617,5100,0.010748139582574368
1582993683.5783768,5120,0.0073509798385202885
1582993725.2553415,5130,-0.00612701615318656
1582993762.8883605,5140,0.009364929981529713
1582993781.337441,5145,0.013237918727099895
1582993837.9001367,5160,0.0022644565906375647
1582993958.4188726,5185,0.007428438402712345
1582993965.2477038,5190,0.01556171104311943
1582993975.9705272,5195,0.010655924677848816
1582994011.3865163,5210,0.015819910913705826
1582994150.6917603,5250,0.0074284374713897705
1582994202.5814161,5265,0.006944313645362854
1582994265.053667,5285,0.0016189618036150932
1582994285.1856003,5290,0.008225818164646626
1582994375.5308166,5305,0.0035554522182792425
1582994416.9276767,5315,0.009364927187561989
1582994462.7009003,5325,0.003942748066037893
1582994561.9849436,5350,0.010655920952558517
1582994669.266696,5385,0.02098388969898224
1582994722.961535,5405,0.011301424354314804
1582994748.3619196,5415,0.013237915001809597
1582994869.5314548,5445,-0.004190520849078894
1582994873.5233896,5450,0.013237910345196724
1582994918.2064292,5460,0.01065592560917139
1582994975.9408815,5470,0.004200953058898449
1582995024.2801037,5495,0.009364934638142586
1582995094.9242759,5515,-0.006127013359218836
1582995129.6696515,5525,0.025502368807792664
1582995223.7420208,5550,0.013514555059373379
1582995240.8085845,5555,0.004523695912212133
1582995253.4894595,5560,0.006460191216319799
1582995411.7543895,5595,0.009364932775497437
1582995430.8682113,5600,-0.008063503541052341
1582995533.261733,5635,0.017110904678702354
1582995600.3994434,5655,0.03647584095597267
1582995616.0700295,5660,0.0016189566813409328
1582995633.4499888,5665,0.003942756447941065
1582995770.5018237,5710,0.01711091212928295
1582995813.4566922,5720,0.009364931844174862
1582995853.5398707,5735,0.004200948402285576
1582995952.6568964,5765,0.007770170923322439
1582995960.531627,5770,0.00161896669305861
1582996065.1687808,5805,6.976678560022265e-05
1582996107.0926688,5815,0.01904739998281002
1582996356.9188247,5890,0.009364931844174862
1582996400.2646053,5905,0.009364930912852287
1582996441.2873504,5920,-0.0009630305576138198
1582996447.7858217,5925,0.005491937045007944
1582996469.3796306,5930,0.007428436074405909
1582996536.5378232,5945,0.01246331911534071
1582996552.0735536,5950,0.013237918727099895
1582996574.1156719,5955,0.007428436074405909
1582996951.7496226,6045,0.03647583723068237
1582997040.3483782,6060,0.011688719503581524
1582997088.6584783,6070,0.014270714484155178
1582997109.3927212,6075,0.012162086553871632
1582997234.5312483,6105,0.013237923383712769
1582997240.8782282,6110,0.01323791779577732
1582997278.0942767,6120,0.013237915001809597
1582997301.7137191,6130,0.009364930912852287
1582997348.5511773,6140,0.0074284374713897705
1582997402.0210824,6150,0.01614265888929367
1582997455.0686915,6165,0.017110900953412056
1582997488.1212833,6175,0.0008443614933639765
1582997521.08106,6185,0.009662852622568607
1582997556.8032517,6195,0.0051398552022874355
1582997610.0212946,6215,0.010854541324079037
1582997810.3993764,6265,0.0016189598245546222
1582997880.7111433,6285,0.013237918727099895
1582997932.4011152,6305,0.009364929981529713
1582997962.0677562,6310,0.010397725738584995
1582998005.7125206,6315,0.010575237683951855
1582998043.2913935,6330,0.005194025579839945
1582998105.2629106,6345,-0.0048360140062868595
1582998130.5488563,6360,-0.006127003114670515
1582998171.6562557,6370,0.002264457754790783
1582998221.731487,6385,0.02872985042631626
1582998320.650385,6415,0.01478711050003767
1582998349.8812716,6425,-0.0022540302015841007
1582998372.8484464,6435,0.0029099606908857822
1582998392.0059607,6440,0.006352611351758242
1582998435.3593447,6455,0.012131347320973873
1582998450.853074,6460,0.013237920589745045
1582998469.2250304,6465,0.020983880385756493
1582998516.5646734,6480,0.008769087493419647
1582998665.6933954,6520,0.009364929050207138
1582998744.388305,6545,0.0045237005688250065
1582998767.4506829,6555,0.00936493556946516
1582998903.1917555,6590,0.01174830924719572
1582998993.0210085,6610,0.005491944029927254
1582999011.1101727,6615,0.007428438402712345
1582999024.9993858,6620,0.00678294338285923
1582999034.5073597,6625,0.009364931844174862
1582999169.9637818,6655,0.003340287134051323
1582999211.6446025,6670,-0.00031753405346535146
1582999342.9445972,6705,0.009364926256239414
1582999391.1507695,6715,0.008549564518034458
1582999424.1017873,6730,0.012592419981956482
1582999450.6137497,6735,0.013237915933132172
1582999488.2250164,6750,0.010655921883881092
1582999584.79165,6780,0.020209290087223053
1582999621.9004912,6790,0.0035554529167711735
1582999665.118307,6805,0.014959246851503849
1582999726.1032007,6820,0.016626780852675438
1582999763.5128002,6825,0.005491943564265966
1582999776.6713777,6830,0.014897767454385757
1582999796.1178777,6835,0.010914123617112637
1582999811.5822577,6840,0.03260285034775734
1582999915.7263591,6870,0.009364931844174862
1583000046.010139,6900,-0.006127015687525272
1583000178.1741903,6930,0.009364929981529713
1583000298.623172,6960,0.005491944495588541
1583000381.2653298,6985,0.0016189608722925186
1583000469.9603605,7005,0.010139528661966324
1583000570.5411046,7040,-0.013872990384697914
1583000603.32735,7050,0.0023935569915920496
1583000704.4753838,7075,0.006944315042346716
1583000725.8518865,7080,0.0035554554779082537
1583000768.2715979,7095,5.214661541685928e-06
1583000780.7048795,7100,-0.00612700916826725
1583000804.1753426,7110,0.008073937147855759
1583000819.4937344,7115,-0.021618962287902832
1583000864.7311132,7130,0.004200951661914587
1583001141.9141827,7215,0.036475833505392075
1583001153.041352,7220,0.005491945426911116
1583001175.9867935,7225,0.009364931844174862
1583001241.5841258,7250,0.008396679535508156
1583001299.071208,7265,0.003555447328835726
1583001384.407925,7285,0.009623131714761257
1583001409.9864466,7290,0.006266541313380003
1583001431.589616,7295,0.0016189588932320476
1583001535.9025052,7315,0.02485687844455242
1583001554.9764037,7320,0.011301422491669655
1583001570.2707658,7325,0.004200953058898449
1583001596.0702958,7335,0.009364929981529713
1583001669.0755484,7355,0.0032788109965622425
1583001707.4665737,7365,0.002909956034272909
1583001846.0416698,7405,0.03647582605481148
1583001947.1206746,7435,0.013237923383712769
1583001958.930871,7440,0.009364929981529713
1583002157.1843252,7485,0.010655929334461689
1583002170.9364078,7490,0.00936492346227169
1583002336.2993367,7545,0.048094794154167175
1583002503.0234675,7585,0.005707110278308392
1583002546.6528635,7590,0.011785549111664295
1583002596.2292485,7605,0.009364926256239414
1583002642.161118,7615,0.007041136268526316
1583002668.2287428,7620,0.004200950264930725
1583002817.6817913,7660,0.01517441589385271
1583002842.750297,7665,0.005491943564265966
1583002865.2410448,7670,-0.0003175310848746449
1583002961.61606,7690,0.008567551150918007
1583002982.7505293,7700,0.01420616265386343
1583003015.6459398,7710,0.015819912776350975
1583003134.3925927,7750,0.0025872064288705587
1583003237.49699,7775,0.01252069603651762
1583003253.3240716,7780,0.019692890346050262
1583003301.511008,7795,0.004846448078751564
1583003433.7163496,7830,0.008073939941823483
1583003468.5294676,7840,0.008719434961676598
1583003722.7157402,7890,0.020015642046928406
1583003829.6230206,7915,0.003770618699491024
1583003842.7294052,7920,0.007428438868373632
1583003882.6226969,7930,0.010543664917349815
1583003890.4699614,7935,0.013237903825938702
1583003990.1466477,7965,0.012131351977586746
1583004134.3268425,8000,0.017110904678702354
1583004154.192295,8005,0.012885824777185917
1583004367.7735674,8055,-0.010000000707805157
1583004413.180164,8080,0.02485687844455242
1583004455.0891523,8090,0.007213274948298931
1583004517.907935,8110,-0.006127013824880123
1583004685.9438782,8155,0.009364931844174862
1583004718.8188958,8165,0.013237913139164448
1583004765.924288,8180,-0.006127013359218836
1583004819.8516693,8190,0.009364930912852287
1583004833.597724,8195,0.015819910913705826
1583004898.6234746,8220,0.005194021388888359
1583005040.978288,8260,0.012500209733843803
1583005074.8596754,8270,0.0059760683216154575
1583005210.276843,8305,0.014528916217386723
1583005228.2112353,8310,0.005491943098604679
1583005315.8781683,8330,0.006460194941610098
1583005389.0882359,8355,0.009364929981529713
1583005458.3546927,8370,0.009364933706820011
1583005492.4896827,8380,0.005215304438024759
1583005550.795651,8395,0.011946923099458218
1583005627.9842618,8410,0.028729859739542007
1583005706.0136287,8430,-0.006127010565251112
1583005814.146168,8465,0.01323791779577732
1583005838.0158122,8470,0.005491947289556265
1583006030.0260386,8510,0.006683633662760258
1583006070.707792,8520,0.009960773400962353
1583006118.7442186,8530,0.008073936216533184
1583006178.6150613,8545,0.01517441589385271
1583006196.609709,8550,0.00781573262065649
1583006309.219336,8585,0.013668248429894447
1583006327.3525577,8590,0.0009147828095592558
1583006516.0364182,8630,0.007577401120215654
1583006574.3935606,8645,0.009364936500787735
1583006593.3303223,8650,0.0016189574962481856
1583006618.9907176,8655,0.006981555372476578
1583006638.3160157,8660,0.009918221272528172
1583006675.9904516,8670,0.018401900306344032
1583006732.4499261,8685,0.004385380074381828
1583006836.751362,8720,0.011301426216959953
1583006858.4881444,8725,0.011403343640267849
1583006983.1772153,8750,0.0008443607948720455
1583007002.7764027,8760,0.008073934353888035
1583007013.810574,8765,0.055840760469436646
1583007027.5088453,8770,0.00936493556946516
1583007182.818652,8815,-0.0003175329475197941
1583007239.5498815,8835,0.0016189627349376678
1583007277.6869197,8845,0.015174411237239838
1583007300.702519,8850,0.013833761215209961
1583007326.7430634,8860,0.01323791779577732
1583007429.669524,8885,0.01420616079121828
1583007447.1022558,8890,0.005491945892572403
1583007467.4541924,8900,0.011301410384476185
1583007485.0385566,8905,0.008258363232016563
1583007514.995356,8910,0.00704113719984889
1583007565.261868,8925,0.015174410305917263
1583007613.3712854,8935,0.009364931844174862
1583007651.1709387,8945,0.0024796214420348406
1583007822.523099,8990,0.009364931844174862
1583007884.4695952,9005,0.0070411404594779015
1583008025.0516438,9050,0.01004839688539505
1583008138.824437,9080,0.0016189588932320476
1583008158.7985883,9085,0.003555453149601817
1583008240.5026999,9115,-0.009999985806643963
1583008260.8812194,9120,0.006045228336006403
1583008282.6494088,9125,0.00084435980534181
1583008423.8994713,9165,0.004598179366439581
1583008550.0497885,9195,0.008590334095060825
1583008575.745656,9200,0.006782940588891506
1583008731.4799652,9245,0.0035554501228034496
1583008753.2307332,9250,0.005860799923539162
1583008792.1062996,9265,0.00868146400898695
1583008846.2163901,9280,-0.006127012427896261
1583008921.9417896,9300,0.009364928118884563
1583008953.2003999,9310,0.009364928118884563
1583009017.8350754,9330,0.011301422491669655
1583009127.315074,9360,0.01517439540475607
1583009188.9378788,9380,0.003555450588464737
1583009197.4995205,9385,0.013237908482551575
1583009264.950465,9400,0.005491943564265966
1583009364.3576567,9425,0.01033318042755127
1583009421.7564948,9445,0.004083587322384119
1583009504.0951626,9465,0.020983893424272537
1583009665.2787838,9510,0.004200950264930725
1583009697.6184556,9520,0.008258362300693989
1583009731.374143,9525,0.032602857798337936
1583009821.7432954,9555,0.007428438868373632
1583009836.0730417,9560,0.009012842550873756
1583009859.9079642,9565,0.010748143307864666
1583009896.366774,9575,0.0042009493336081505
1583009914.8840525,9585,0.00742844445630908
1583010153.643203,9650,0.013237915933132172
1583010291.384976,9695,0.010504045523703098
1583010358.4452243,9715,0.012592419981956482
1583010455.8499138,9740,0.009364930912852287
1583010461.9261193,9745,0.03647583723068237
1583010576.077617,9770,0.002909956034272909
1583010585.2864673,9775,-0.004190518520772457
1583010603.4976423,9780,0.010333175770938396
1583010663.3917632,9800,0.013237915001809597
1583010683.1998897,9805,0.014998367987573147
1583010776.287639,9835,0.015174410305917263
1583010859.7406073,9855,0.002587211551144719
1583010872.1475043,9860,0.017110904678702354
1583010882.410174,9865,0.007815736345946789
1583010903.0765007,9875,0.017110899090766907
1583011002.1931515,9905,0.030666356906294823
1583011041.2179265,9920,0.015174412168562412
1583011074.0043657,9930,0.0038320941384881735
1583011122.1574054,9945,0.030666345730423927
1583011197.8834932,9960,0.0054919421672821045
1583011271.1412115,9975,0.0045236945152282715
1583011300.4689815,9985,0.008396684192121029
1583011420.8666823,10020,0.017885500565171242
1583011460.1623087,10030,0.0045236991718411446
1583011719.6047482,10090,0.005491944961249828
1583011736.0931025,10095,0.017110904678702354
1583011746.3534443,10100,-0.009999997913837433
1583012031.1001031,10175,0.024856870993971825
1583012122.4676983,10195,0.0013210359029471874
1583012220.1284158,10215,0.011024783365428448
1583012232.7154317,10220,0.006460191216319799
1583012292.2129433,10235,0.013625215739011765
1583012305.9423056,10240,-0.006127010565251112
1583012390.8533359,10255,0.012850618921220303
1583012418.813195,10265,0.01600433513522148
1583012448.8513634,10275,0.013237915001809597
1583012559.8280628,10300,0.011301422491669655
1583012635.567911,10315,0.01065592560917139
1583012665.1323972,10325,0.0016189559828490019
1583012752.9954107,10340,0.01499836053699255
1583012794.2108624,10355,-0.0009630303247831762
1583012838.3338299,10370,-0.017745964229106903
1583012892.325414,10380,0.01469028927385807
1583012964.6180122,10395,0.01904739998281002
1583013039.9785244,10410,0.009364929981529713
1583013072.8872511,10415,-0.004467166494578123
1583013114.495693,10430,0.010914120823144913
1583013179.0945642,10445,0.011172323487699032
1583013365.2000315,10490,0.014012512750923634
1583013404.2615547,10500,0.01262639369815588
1583013488.4258451,10525,0.008308663964271545
1583013550.4859774,10550,0.01766418106853962
1583013571.2997532,10555,0.010471498593688011
1583013586.0705965,10560,0.00021059946448076516
1583013613.5563474,10570,-0.004836016800254583
1583013623.0134652,10575,0.022274887189269066
1583013648.7799966,10585,-0.0022540255449712276
1583013698.6776807,10595,0.006782939657568932
1583013740.1473792,10610,0.017110897228121758
1583013765.3317912,10615,0.048094797879457474
1583013839.7510946,10635,0.010914125479757786
1583013945.4871688,10660,0.003942749463021755
1583013987.3310823,10670,0.012269669212400913
1583014111.2255445,10705,0.014012515544891357
1583014145.8231363,10715,0.008590335957705975
1583014165.7850819,10720,0.005007823463529348
1583014218.6020744,10735,0.009364930912852287
1583014243.2010765,10745,0.009364929981529713
1583014329.6955745,10765,0.006998105440288782
1583014379.8328226,10785,0.01323791779577732
1583014420.5113287,10795,0.00452369824051857
1583014443.3595855,10805,0.006782941520214081
1583014449.1525915,10810,-0.000317533704219386
1583014538.3620923,10835,0.005491939838975668
1583014589.670778,10855,0.013237915933132172
1583014607.1901698,10860,0.0074284374713897705
1583014623.5169075,10865,0.004765758290886879
1583014723.2780776,10885,0.009364930912852287
1583014748.7446902,10890,0.01434448640793562
1583014792.223252,10900,0.009364928118884563
1583014815.0167167,10905,0.0025872006081044674
1583014842.0888073,10915,0.008258365094661713
1583014863.8396251,10920,0.00290995417162776
1583014876.0289965,10925,0.013237915001809597
1583014929.121377,10935,0.010333175770938396
1583014955.3613503,10940,0.008258366025984287
1583014987.959074,10950,0.013237915933132172
1583015081.47733,10975,0.013237915001809597
1583015097.191433,10980,0.0074284374713897705
1583015188.5717416,11010,0.0016189593588933349
1583015214.1326408,11015,-0.004190518986433744
1583015234.3321135,11020,0.008753405883908272
1583015315.9512603,11040,0.004523700103163719
1583015357.452598,11050,0.00406505586579442
1583015407.318995,11060,0.010471498593688011
1583015462.0701954,11080,-0.0012857804540544748
1583015691.8001618,11135,0.010139526799321175
1583015739.6427152,11145,0.010471498593688011
1583015763.2108014,11155,-0.0009630314307287335
1583015773.8596923,11160,0.010139529593288898
1583015835.8296683,11180,0.004846449010074139
1583015873.2934597,11190,0.004385377746075392
1583015891.863016,11195,0.011024783365428448
1583015905.843165,11200,0.017756402492523193
1583015956.2815092,11215,0.01928945817053318
1583016022.264633,11235,0.005194021854549646
1583016034.0871012,11240,0.015561706386506557
1583016083.5720348,11255,0.013942093588411808
1583016160.4236472,11270,0.017110900953412056
1583016328.9624207,11320,0.01323791779577732
1583016348.2678554,11325,0.0071517955511808395
1583016430.5137014,11345,0.00032796611776575446
